Issue ID,Commit Link,Title
HBASE-19722,https://github.com/apache/hbase/commit/78e7dd6537801534d02a8bff567e361759b7c5db,Meta query statistics metrics source
HBASE-20590,https://github.com/apache/hbase/commit/7da0015a3b58a28ccbae0b03ba7de9ce62b751e1,REST Java client is not able to negotiate with the server in the secure mode
HBASE-21792,https://github.com/apache/hbase/commit/7dc69b61287d66641f0ae3d251b1d106d2a00ccf,Mark HTableMultiplexer as deprecated and remove it in 3.0.0
HBASE-19483,https://github.com/apache/hbase/commit/7ddf79946da4bc8f0dfa673b48f29023e5ff5bcf,Add proper privilege check for rsgroup commands
HBASE-19524,https://github.com/apache/hbase/commit/7f4bd0d371e9faf59076468e5efe416045eb525a,Master side changes for moving peer modification from zk watcher to procedure
HBASE-21338,https://github.com/apache/hbase/commit/807736fcf153d0d83eab50fd20d096d37c651ca9,Warn if balancer is an ill-fit for cluster size
HBASE-20449,https://github.com/apache/hbase/commit/80cbc0d1fefdba1492d7ec6e580ad54a2960cbdb,The minimun number of region should be configurable
HBASE-19734,https://github.com/apache/hbase/commit/8118d5de4e842ff02e38b66643d07518ff48e38d,Fix IntegrationTestReplication and related impl changes
HBASE-21764,https://github.com/apache/hbase/commit/81ebe6d40d485a3aee4451acc340cf6db62609b7,Size of in-memory compaction thread pool should be configurable
HBASE-18478,https://github.com/apache/hbase/commit/8301734594011e7f94f992e6f8c815580a6b62d8,Allow users to remove RegionFinder from LoadBalancer calculations if no locality possible
HBASE-19285,https://github.com/apache/hbase/commit/835d15bf9779698bd0b269c2008a496be79090d2,"Implements table-level latency histogramsFor a egionserver's view of a table (the regionsthat belong to a table hosted on a regionserver),this change tracks the latencies of operations thataffect the regions for this table.Tracking at the per-table level avoids the memory bloatand performance impact that accompanied the previousper-region latency metrics while still providing importantdetails for operators to consume"
HBASE-18226,https://github.com/apache/hbase/commit/83be50c2ab01b428df3b0496215fda8d66ae1bd6,Disable reverse DNS lookup at HMaster and use the hostname provided by RegionServer
HBASE-21072,https://github.com/apache/hbase/commit/86b35b26870be3a04304a4483c08fcf7c50d55f5,Block out HBCK1 in hbase2Write the hbase-1.x hbck1 lock file to block out hbck1 instances writingstate to an hbase-2.x cluster (could do damage).Set hbase.write.hbck1.lock.file to 0 to disable this writing.
HBASE-21228,https://github.com/apache/hbase/commit/86cb8e48ad8aecf52bca1169a98607c76198c70b,mory leak since AbstractFSWAL caches Thread object and never clean later
HBASE-19890,https://github.com/apache/hbase/commit/87ab7e712df4b9c9b24665488a69190310e747d9,Canary usage should document hbase.canary.sink.class config
HBASE-18721,https://github.com/apache/hbase/commit/8a800c3f196fcbc3ed63f0967025c1779c43d486,Cleanup unused configs and private declaration
HBASE-18010,https://github.com/apache/hbase/commit/8ac4308411df0528a3ef5a3aae0297154940cd9d,Connect CellChunkMap to be used for flattening in CompactingMemStore
HBASE-19282,https://github.com/apache/hbase/commit/8d0da1a77f50b730b366c28b5b477141aa83cc55,Making CellChunkMap the default index
HBASE-18387,https://github.com/apache/hbase/commit/8da77b414657f0ee3b093913de5f92eba17ecd2a,"Thrift] Make principal configurable in DemoClient.javaAdded OPTIONal (fourth) parameter ""server-principal"""
HBASE-15560,https://github.com/apache/hbase/commit/8ec93ea193f6765fd2639ce851ef8cac7df3f555,W-TinyLFU based BlockCache
HBASE-18662,https://github.com/apache/hbase/commit/90c15bae8d5e2acb4d58977bdfbb3425f80466a2,The default values for many configuration items in the code are not consistent with hbase-default.xml
HBASE-19441,https://github.com/apache/hbase/commit/91075276e7638f64e3e213358edd37198f540e1b,Implement retry logic around starting exclusive backup operation
HBASE-19506,https://github.com/apache/hbase/commit/92d04d57516391376d34aaca6307e5906ffa4ae8,"The CellChunkMap index chunks are usually small, so in order to prevent memory underutilization, HBASE-19506 presents small chunks preallocated in a small pool"
